"Candidate_ID";"Job_ID";"Recruitment_Source";"Department";"Job_Role";"Location";"Education_Level";"Experience_Level";"Recruiter";"Application_Date";"Screening_Date";"Interview_Date";"Offer_Date";"Hire_Date";"Candidate_Status";"Rejection_Reason";"Offered_Salary_EUR";"Hiring_Cost_EUR";"Time_to_Screen_Days";"Time_to_Interview_Days";"Time_to_Offer_Days";"Time_to_Hire_Days";"Application_to_Screen_Days";"Screen_to_Interview_Days";"Interview_to_Offer_Days";"Offer_to_Hire_Days";"Calculated_Time_to_Hire_Days";"Reached_Screening";"Reached_Interview";"Received_Offer";"Hired_Flag"
"C00016";"J024";"LinkedIn";"Finance";"Finance Officer";"Frankfurt";"Master";"10+ years";"Sophie Hoffmann";"2024-07-21";"2024-07-28";"";"";"";"Rejected After Screening";"Not Eligible";47500.0;0.0;"7";"";"";"";7;0;0;0;0;1;0;0;0
"C00017";"J016";"Company Website";"Operations";"Operations Coordinator";"Karlsruhe";"Bachelor";"8-10 years";"Sophie Hoffmann";"2024-08-10";"";"";"";"";"Rejected at Application";"Position Filled";41000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00018";"J004";"Indeed";"Operations";"Operations Coordinator";"Stuttgart";"Bachelor";"2-4 years";"Laura Becker";"2024-07-21";"";"";"";"";"Rejected at Application";"Not Eligible";55000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00019";"J026";"Employee Referral";"Sales";"Sales Executive";"Frankfurt";"Bachelor";"10+ years";"Laura Becker";"2026-02-13";"2026-02-21";"2026-03-06";"";"";"Rejected After Interview";"Skills Mismatch";48500.0;0.0;"8";"21";"";"";8;13;0;0;0;1;1;0;0
"C00020";"J014";"Employee Referral";"Operations";"Operations Coordinator";"Frankfurt";"Bachelor";"2-4 years";"Michael Wagner";"2026-03-16";"";"";"";"";"Rejected at Application";"Insufficient Experience";54500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00021";"J016";"Job Board";"Customer Support";"Support Team Lead";"Berlin";"Bachelor";"2-4 years";"Thomas Fischer";"2024-07-03";"";"";"";"";"Rejected at Application";"No Response";34500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00022";"J012";"University/Career Fair";"Marketing";"Marketing Analyst";"Karlsruhe";"Master";"5-7 years";"Maria Keller";"2025-05-17";"";"";"";"";"Rejected at Application";"Insufficient Experience";55500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00023";"J006";"LinkedIn";"Customer Support";"Customer Support Specialist";"Stuttgart";"Bachelor";"8-10 years";"David Müller";"2025-02-16";"2025-02-19";"";"";"";"Rejected After Screening";"Skills Mismatch";39000.0;0.0;"3";"";"";"";3;0;0;0;0;1;0;0;0
"C00024";"J028";"LinkedIn";"Sales";"Sales Executive";"Remote";"High School";"2-4 years";"Michael Wagner";"2025-11-15";"";"";"";"";"Rejected at Application";"Not Eligible";49500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00025";"J024";"University/Career Fair";"Sales";"Account Executive";"Stuttgart";"Bachelor";"5-7 years";"Anna Schmidt";"2026-03-01";"";"";"";"";"Rejected at Application";"Incomplete Application";59000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00026";"J020";"Indeed";"Sales";"Business Development Representative";"Remote";"Bachelor";"0-1 years";"Laura Becker";"2025-02-22";"";"";"";"";"Rejected at Application";"Incomplete Application";54000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00027";"J013";"Indeed";"Operations";"Operations Analyst";"Berlin";"PhD";"2-4 years";"Thomas Fischer";"2025-01-15";"";"";"";"";"Rejected at Application";"Insufficient Experience";60000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00028";"J025";"LinkedIn";"Human Resources";"HR Coordinator";"Frankfurt";"Bachelor";"10+ years";"Daniel Weber";"2025-03-07";"";"";"";"";"Rejected at Application";"Incomplete Application";55500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00029";"J017";"Employee Referral";"Sales";"Business Development Representative";"Pforzheim";"Bachelor";"5-7 years";"Sophie Hoffmann";"2025-03-27";"";"";"";"";"Rejected at Application";"Position Filled";73500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00030";"J014";"Indeed";"Technology";"Software Developer";"Remote";"Master";"2-4 years";"Michael Wagner";"2026-06-07";"";"";"";"";"Rejected at Application";"Not Eligible";83500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00031";"J014";"LinkedIn";"Technology";"IT Support Specialist";"Remote";"Bachelor";"5-7 years";"Thomas Fischer";"2024-04-26";"";"";"";"";"Rejected at Application";"Not Eligible";79500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00032";"J007";"Company Website";"Marketing";"Marketing Coordinator";"Berlin";"Bachelor";"2-4 years";"Maria Keller";"2024-05-30";"";"";"";"";"Rejected at Application";"Position Filled";57000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00033";"J003";"Recruitment Agency";"Technology";"IT Support Specialist";"Berlin";"Master";"0-1 years";"Daniel Weber";"2024-12-23";"2024-12-30";"2025-01-12";"";"";"Rejected After Interview";"Salary Expectations";52000.0;0.0;"7";"20";"";"";7;13;0;0;0;1;1;0;0
"C00034";"J017";"Indeed";"Operations";"Operations Coordinator";"Munich";"Master";"5-7 years";"Michael Wagner";"2024-12-28";"";"";"";"";"Rejected at Application";"No Response";40500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00035";"J027";"Employee Referral";"Sales";"Sales Executive";"Stuttgart";"Master";"10+ years";"Sophie Hoffmann";"2025-03-21";"2025-03-27";"";"";"";"Rejected After Screening";"Not Eligible";46000.0;0.0;"6";"";"";"";6;0;0;0;0;1;0;0;0
"C00036";"J002";"Company Website";"Technology";"IT Support Specialist";"Remote";"High School";"2-4 years";"Michael Wagner";"2026-06-19";"2026-06-25";"2026-07-03";"";"";"Rejected After Interview";"Position Filled";52500.0;0.0;"6";"14";"";"";6;8;0;0;0;1;1;0;0
"C00037";"J026";"Indeed";"Customer Support";"Customer Success Associate";"Stuttgart";"Bachelor";"0-1 years";"Anna Schmidt";"2025-06-16";"";"";"";"";"Rejected at Application";"Position Filled";49000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00038";"J025";"Indeed";"Technology";"Data Analyst";"Munich";"Bachelor";"5-7 years";"Michael Wagner";"2024-08-25";"";"";"";"";"Rejected at Application";"Not Eligible";77500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00039";"J009";"LinkedIn";"Customer Support";"Support Team Lead";"Munich";"Bachelor";"2-4 years";"Thomas Fischer";"2024-08-29";"";"";"";"";"Rejected at Application";"Incomplete Application";55500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00040";"J019";"Indeed";"Marketing";"Digital Marketing Specialist";"Berlin";"PhD";"2-4 years";"Michael Wagner";"2024-04-11";"";"";"";"";"Rejected at Application";"Position Filled";43500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00041";"J005";"Job Board";"Finance";"Finance Officer";"Berlin";"High School";"5-7 years";"Thomas Fischer";"2024-01-17";"";"";"";"";"Rejected at Application";"Incomplete Application";60500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00042";"J023";"LinkedIn";"Technology";"IT Support Specialist";"Frankfurt";"Bachelor";"10+ years";"Thomas Fischer";"2024-09-27";"2024-10-04";"2024-10-14";"2024-10-16";"2024-10-30";"Hired";"";56500.0;5901.0;"7";"17";"19";"33";7;10;2;14;33;1;1;1;1
"C00043";"J022";"Job Board";"Finance";"Financial Analyst";"Stuttgart";"Bachelor";"2-4 years";"Thomas Fischer";"2025-10-01";"";"";"";"";"Rejected at Application";"Position Filled";54000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00044";"J011";"LinkedIn";"Human Resources";"HR Coordinator";"Karlsruhe";"High School";"2-4 years";"Laura Becker";"2026-02-01";"";"";"";"";"Rejected at Application";"Position Filled";53500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00045";"J003";"Indeed";"Finance";"Finance Officer";"Stuttgart";"Bachelor";"5-7 years";"Sophie Hoffmann";"2025-09-29";"2025-10-04";"";"";"";"Rejected After Screening";"Salary Expectations";63500.0;0.0;"5";"";"";"";5;0;0;0;0;1;0;0;0
"C00046";"J030";"Company Website";"Customer Support";"Support Team Lead";"Remote";"Bachelor";"2-4 years";"David Müller";"2026-06-26";"";"";"";"";"Rejected at Application";"Not Eligible";53500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00047";"J014";"University/Career Fair";"Finance";"Financial Analyst";"Stuttgart";"Master";"2-4 years";"Daniel Weber";"2024-08-14";"2024-08-23";"2024-09-03";"";"";"Rejected After Interview";"Salary Expectations";52500.0;0.0;"9";"20";"";"";9;11;0;0;0;1;1;0;0
"C00048";"J027";"LinkedIn";"Marketing";"Marketing Coordinator";"Remote";"Bachelor";"5-7 years";"Anna Schmidt";"2025-07-22";"2025-07-30";"";"";"";"Rejected After Screening";"Not Eligible";57000.0;0.0;"8";"";"";"";8;0;0;0;0;1;0;0;0
"C00049";"J021";"LinkedIn";"Technology";"IT Support Specialist";"Stuttgart";"Bachelor";"5-7 years";"Sophie Hoffmann";"2025-12-05";"";"";"";"";"Rejected at Application";"No Response";83500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00050";"J024";"Employee Referral";"Customer Support";"Support Team Lead";"Remote";"Master";"5-7 years";"Sophie Hoffmann";"2026-06-21";"2026-06-26";"2026-07-06";"";"";"Rejected After Interview";"Position Filled";41500.0;0.0;"5";"15";"";"";5;10;0;0;0;1;1;0;0
"C00051";"J023";"Indeed";"Finance";"Accountant";"Frankfurt";"Bachelor";"2-4 years";"Maria Keller";"2024-09-20";"";"";"";"";"Rejected at Application";"Position Filled";57500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00052";"J006";"Employee Referral";"Operations";"Supply Chain Specialist";"Hamburg";"Bachelor";"2-4 years";"Daniel Weber";"2024-06-11";"";"";"";"";"Rejected at Application";"Incomplete Application";57500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00053";"J011";"University/Career Fair";"Operations";"Operations Coordinator";"Berlin";"Bachelor";"2-4 years";"Daniel Weber";"2026-06-10";"";"";"";"";"Rejected at Application";"Insufficient Experience";50000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00054";"J015";"LinkedIn";"Technology";"Software Developer";"Berlin";"Master";"8-10 years";"Thomas Fischer";"2025-07-27";"";"";"";"";"Rejected at Application";"Insufficient Experience";82500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00055";"J015";"University/Career Fair";"Marketing";"Marketing Coordinator";"Berlin";"Bachelor";"5-7 years";"Maria Keller";"2025-12-15";"";"";"";"";"Rejected at Application";"Insufficient Experience";44500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00056";"J002";"LinkedIn";"Finance";"Accountant";"Karlsruhe";"Bachelor";"2-4 years";"Daniel Weber";"2025-06-24";"2025-07-01";"";"";"";"Rejected After Screening";"Not Eligible";67500.0;0.0;"7";"";"";"";7;0;0;0;0;1;0;0;0
"C00057";"J017";"Job Board";"Operations";"Operations Analyst";"Remote";"Master";"5-7 years";"Sophie Hoffmann";"2024-05-09";"";"";"";"";"Rejected at Application";"Insufficient Experience";45500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00058";"J005";"Social Media";"Operations";"Operations Coordinator";"Berlin";"Bachelor";"2-4 years";"Sophie Hoffmann";"2024-04-29";"2024-05-05";"2024-05-16";"";"";"Rejected After Interview";"Position Filled";63500.0;0.0;"6";"17";"";"";6;11;0;0;0;1;1;0;0
"C00059";"J023";"Employee Referral";"Sales";"Sales Executive";"Karlsruhe";"Master";"8-10 years";"Laura Becker";"2024-10-17";"";"";"";"";"Rejected at Application";"Insufficient Experience";59500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00060";"J021";"Social Media";"Technology";"BI Analyst";"Pforzheim";"High School";"5-7 years";"Anna Schmidt";"2025-07-15";"";"";"";"";"Rejected at Application";"Position Filled";82000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00061";"J028";"University/Career Fair";"Technology";"Software Developer";"Frankfurt";"Bachelor";"0-1 years";"Daniel Weber";"2026-05-23";"";"";"";"";"Rejected at Application";"No Response";80500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00062";"J023";"LinkedIn";"Technology";"IT Support Specialist";"Remote";"PhD";"0-1 years";"Michael Wagner";"2025-05-04";"";"";"";"";"Rejected at Application";"Not Eligible";75500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00063";"J011";"LinkedIn";"Finance";"Finance Officer";"Hamburg";"Master";"0-1 years";"Thomas Fischer";"2025-04-21";"2025-04-27";"2025-05-11";"";"";"Rejected After Interview";"Skills Mismatch";69000.0;0.0;"6";"20";"";"";6;14;0;0;0;1;1;0;0
"C00064";"J030";"LinkedIn";"Technology";"Software Developer";"Pforzheim";"Bachelor";"0-1 years";"Thomas Fischer";"2025-11-20";"";"";"";"";"Rejected at Application";"Not Eligible";67000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00065";"J013";"Company Website";"Customer Support";"Support Team Lead";"Berlin";"Master";"5-7 years";"Sophie Hoffmann";"2025-09-18";"";"";"";"";"Rejected at Application";"Incomplete Application";36000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00066";"J010";"Employee Referral";"Operations";"Operations Analyst";"Stuttgart";"Bachelor";"2-4 years";"Maria Keller";"2026-01-27";"";"";"";"";"Rejected at Application";"No Response";67000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00067";"J028";"Company Website";"Sales";"Business Development Representative";"Pforzheim";"Bachelor";"5-7 years";"David Müller";"2024-10-04";"";"";"";"";"Rejected at Application";"Insufficient Experience";51500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00068";"J012";"Employee Referral";"Human Resources";"HR Analyst";"Hamburg";"Bachelor";"5-7 years";"David Müller";"2024-07-23";"2024-07-28";"";"";"";"Rejected After Screening";"Insufficient Experience";50500.0;0.0;"5";"";"";"";5;0;0;0;0;1;0;0;0
"C00069";"J003";"Company Website";"Finance";"Finance Officer";"Stuttgart";"Bachelor";"0-1 years";"Laura Becker";"2025-09-08";"";"";"";"";"Rejected at Application";"Insufficient Experience";57000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00070";"J015";"LinkedIn";"Operations";"Supply Chain Specialist";"Pforzheim";"High School";"0-1 years";"Maria Keller";"2024-04-10";"";"";"";"";"Rejected at Application";"No Response";56000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00071";"J024";"LinkedIn";"Finance";"Financial Analyst";"Stuttgart";"Master";"0-1 years";"David Müller";"2025-12-08";"";"";"";"";"Rejected at Application";"Not Eligible";47000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00072";"J006";"Social Media";"Human Resources";"HR Analyst";"Stuttgart";"Bachelor";"5-7 years";"Daniel Weber";"2026-04-23";"";"";"";"";"Rejected at Application";"Incomplete Application";45500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00073";"J014";"Indeed";"Operations";"Supply Chain Specialist";"Stuttgart";"PhD";"5-7 years";"Sophie Hoffmann";"2025-08-19";"";"";"";"";"Rejected at Application";"No Response";51500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00074";"J004";"Indeed";"Operations";"Supply Chain Specialist";"Stuttgart";"Bachelor";"2-4 years";"Thomas Fischer";"2025-11-06";"2025-11-12";"";"";"";"Rejected After Screening";"Not Eligible";66000.0;0.0;"6";"";"";"";6;0;0;0;0;1;0;0;0
"C00075";"J021";"LinkedIn";"Customer Support";"Support Team Lead";"Munich";"Bachelor";"0-1 years";"Sophie Hoffmann";"2025-05-03";"";"";"";"";"Rejected at Application";"No Response";40500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00076";"J015";"Social Media";"Finance";"Financial Analyst";"Remote";"Master";"10+ years";"Maria Keller";"2024-11-26";"";"";"";"";"Rejected at Application";"Not Eligible";45500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00077";"J010";"LinkedIn";"Operations";"Operations Coordinator";"Stuttgart";"High School";"2-4 years";"Michael Wagner";"2024-07-20";"";"";"";"";"Rejected at Application";"Position Filled";56000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00078";"J007";"Employee Referral";"Technology";"Software Developer";"Remote";"Bachelor";"2-4 years";"Michael Wagner";"2025-05-04";"";"";"";"";"Rejected at Application";"Insufficient Experience";63000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00079";"J017";"LinkedIn";"Human Resources";"HR Coordinator";"Berlin";"Bachelor";"2-4 years";"Maria Keller";"2026-04-04";"2026-04-10";"";"";"";"Rejected After Screening";"Insufficient Experience";42000.0;0.0;"6";"";"";"";6;0;0;0;0;1;0;0;0
"C00080";"J021";"LinkedIn";"Sales";"Business Development Representative";"Stuttgart";"Bachelor";"0-1 years";"Anna Schmidt";"2026-01-20";"";"";"";"";"Rejected at Application";"Incomplete Application";55500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00081";"J029";"Employee Referral";"Technology";"IT Support Specialist";"Pforzheim";"Bachelor";"5-7 years";"Maria Keller";"2024-12-04";"";"";"";"";"Rejected at Application";"No Response";61500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00082";"J014";"Employee Referral";"Sales";"Account Executive";"Karlsruhe";"Bachelor";"5-7 years";"Michael Wagner";"2024-05-28";"";"";"";"";"Rejected at Application";"Position Filled";45000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00083";"J005";"Employee Referral";"Human Resources";"HR Analyst";"Hamburg";"Bachelor";"2-4 years";"Sophie Hoffmann";"2026-06-21";"";"";"";"";"Rejected at Application";"Position Filled";56000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00084";"J025";"LinkedIn";"Technology";"IT Support Specialist";"Berlin";"Bachelor";"2-4 years";"Thomas Fischer";"2024-01-02";"";"";"";"";"Rejected at Application";"No Response";74500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00085";"J019";"Social Media";"Customer Support";"Customer Support Specialist";"Pforzheim";"Bachelor";"5-7 years";"David Müller";"2024-06-16";"";"";"";"";"Rejected at Application";"Insufficient Experience";34000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00086";"J022";"Company Website";"Human Resources";"HR Analyst";"Stuttgart";"Bachelor";"2-4 years";"Sophie Hoffmann";"2025-05-13";"";"";"";"";"Rejected at Application";"Position Filled";55000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00087";"J003";"Social Media";"Marketing";"Marketing Analyst";"Stuttgart";"PhD";"10+ years";"Anna Schmidt";"2026-02-03";"";"";"";"";"Rejected at Application";"Not Eligible";55000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00088";"J010";"LinkedIn";"Human Resources";"Recruitment Specialist";"Frankfurt";"Master";"5-7 years";"Maria Keller";"2024-03-25";"";"";"";"";"Rejected at Application";"Insufficient Experience";61500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00089";"J024";"Indeed";"Customer Support";"Customer Support Specialist";"Stuttgart";"Bachelor";"8-10 years";"Laura Becker";"2024-08-12";"";"";"";"";"Rejected at Application";"Position Filled";44000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00090";"J025";"Indeed";"Finance";"Accountant";"Frankfurt";"Bachelor";"2-4 years";"Anna Schmidt";"2026-05-27";"";"";"";"";"Rejected at Application";"Position Filled";43500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00091";"J014";"Recruitment Agency";"Human Resources";"HR Analyst";"Frankfurt";"Bachelor";"5-7 years";"Maria Keller";"2024-03-03";"2024-03-11";"2024-03-25";"";"";"Rejected After Interview";"Failed Interview";42000.0;0.0;"8";"22";"";"";8;14;0;0;0;1;1;0;0
"C00092";"J025";"Recruitment Agency";"Marketing";"Marketing Coordinator";"Berlin";"Bachelor";"2-4 years";"Sophie Hoffmann";"2024-07-04";"";"";"";"";"Rejected at Application";"Position Filled";43000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00093";"J026";"Company Website";"Human Resources";"Recruitment Specialist";"Stuttgart";"PhD";"10+ years";"Sophie Hoffmann";"2024-02-01";"2024-02-03";"";"";"";"Rejected After Screening";"Not Eligible";59500.0;0.0;"2";"";"";"";2;0;0;0;0;1;0;0;0
"C00094";"J012";"LinkedIn";"Human Resources";"HR Analyst";"Munich";"Bachelor";"5-7 years";"Daniel Weber";"2025-11-02";"2025-11-05";"";"";"";"Rejected After Screening";"Insufficient Experience";59000.0;0.0;"3";"";"";"";3;0;0;0;0;1;0;0;0
"C00095";"J027";"LinkedIn";"Customer Support";"Support Team Lead";"Munich";"Master";"5-7 years";"Laura Becker";"2024-10-27";"";"";"";"";"Rejected at Application";"No Response";46000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00096";"J009";"LinkedIn";"Operations";"Operations Coordinator";"Hamburg";"Master";"0-1 years";"Thomas Fischer";"2025-10-10";"";"";"";"";"Rejected at Application";"Incomplete Application";61000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00097";"J008";"University/Career Fair";"Sales";"Sales Executive";"Munich";"Master";"5-7 years";"Sophie Hoffmann";"2024-01-16";"";"";"";"";"Rejected at Application";"Incomplete Application";71500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00098";"J021";"Indeed";"Sales";"Account Executive";"Munich";"Bachelor";"5-7 years";"Sophie Hoffmann";"2024-05-31";"";"";"";"";"Rejected at Application";"Position Filled";65500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00099";"J020";"LinkedIn";"Marketing";"Marketing Coordinator";"Stuttgart";"Bachelor";"2-4 years";"David Müller";"2024-04-14";"";"";"";"";"Rejected at Application";"No Response";62500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00100";"J005";"Indeed";"Customer Support";"Support Team Lead";"Berlin";"Master";"5-7 years";"David Müller";"2024-01-24";"";"";"";"";"Rejected at Application";"No Response";50500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00101";"J025";"LinkedIn";"Operations";"Operations Coordinator";"Frankfurt";"Master";"2-4 years";"Michael Wagner";"2024-01-10";"";"";"";"";"Rejected at Application";"Position Filled";51000.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
"C00102";"J006";"Social Media";"Finance";"Finance Officer";"Berlin";"Bachelor";"5-7 years";"Daniel Weber";"2024-07-28";"";"";"";"";"Rejected at Application";"Not Eligible";49500.0;0.0;"";"";"";"";0;0;0;0;0;0;0;0;0
